"","Date","SpotPrice"
"357","20160721","2.76"
"358","20160720","2.76"
"359","20160719","2.83"
"360","20160718","2.83"
"361","20160715","2.7"
"362","20160714","2.79"
"363","20160713","2.81"
"364","20160712","2.88"
"365","20160711","2.88"
"366","20160708","2.8"
"367","20160707","2.78"
"368","20160706","2.82"
"369","20160705","2.82"
"370","20160704","2.89"
"371","20160701","2.89"
"372","20160630","2.94"
"373","20160629","2.94"
"374","20160628","2.89"
"375","20160627","2.79"
"376","20160624","2.71"
"377","20160623","2.69"
"378","20160622","2.82"
"379","20160621","2.79"
"380","20160620","2.74"
"381","20160617","2.59"
"382","20160616","2.62"
"383","20160615","2.62"
"384","20160614","2.55"
"385","20160613","2.55"
"386","20160610","2.46"
"387","20160609","2.34"
"388","20160608","2.36"
"389","20160607","2.32"
"390","20160606","2.32"
"391","20160603","2.31"
"392","20160602","2.3"
"393","20160601","2.25"
"394","20160531","2.12"
"395","20160530","1.77"
"396","20160527","1.77"
"397","20160526","1.77"
"398","20160525","1.77"
"399","20160524","1.91"
"400","20160523","1.96"
"401","20160520","1.81"
"402","20160519","1.83"
"403","20160518","1.91"
"404","20160517","1.97"
"405","20160516","1.91"
"406","20160513","1.96"
"407","20160512","2.01"
"408","20160511","2.01"
"409","20160510","2.01"
"410","20160509","2.01"
"411","20160506","1.86"
"412","20160505","2.05"
"413","20160504","2.03"
"414","20160503","1.94"
"415","20160502","1.91"
"416","20160429","1.89"
"417","20160428","1.88"
"418","20160427","1.88"
"419","20160426","1.97"
"420","20160425","1.97"
"421","20160422","1.92"
"422","20160421","1.96"
"423","20160420","1.94"
"424","20160419","1.94"
"425","20160418","1.76"
"426","20160415","1.71"
"427","20160414","1.93"
"428","20160413","2.01"
"429","20160412","1.97"
"430","20160411","1.9"
"431","20160408","1.99"
"432","20160407","1.96"
"433","20160406","1.91"
"434","20160405","1.96"
"435","20160404","1.96"
"436","20160401","1.88"
"437","20160331","1.98"
"438","20160330","1.87"
"439","20160329","1.77"
"440","20160328","1.78"
"441","20160325","1.78"
"442","20160324","1.78"
"443","20160323","1.79"
